_id,fname,ftype,nid,metadata
737,4366,2,4186,
738,4367,2,4187,
739,4368,2,4188,
740,4371,2,4189,
741,4373,2,4190,
742,4374,2,4191,
743,4375,2,4192,
744,4376,2,4193,
745,4378,8,4194,
746,4379,2,4195,
747,4380,2,4196,
748,4381,2,4197,
749,4382,2,4198,
750,4382A,8,4199,
751,4382B,8,4200,
752,4382C,8,4201,
753,4382D,8,4202,
754,4382E,8,4203,
755,4383,2,4204,
756,4384,2,4205,
757,4384A,8,4206,
758,4401,2,4207,
759,4411,8,4208,
760,4412,2,4209,
761,4413,2,4210,
762,4414,2,4211,
763,4416,2,4212,
764,4417,2,4213,
765,4418,2,4214,
766,4419,2,4215,
767,4420,2,4216,
768,4421,2,4217,
769,4422,2,4218,
770,4423,2,4219,
771,4425,2,4220,
772,4426,2,4221,
773,4427,2,4222,
774,4428,2,4223,
775,4430,2,4224,
776,4431,2,4225,
777,4432,2,4226,
778,4433,2,4227,
779,4434,2,4228,
780,4435,2,4229,
781,4436,2,4230,
782,4438,2,4231,
783,4439,2,4232,
784,4440,2,4233,
785,4441,2,4234,
786,4442,2,4235,
787,4443,2,4236,
788,4444,2,4237,
789,4445,2,4238,
790,4447,2,4239,
791,4448,2,4240,
792,4449,2,4241,
793,4450,2,4242,
794,4451,2,4243,
795,4452,2,4244,
796,4453,2,4245,
797,4454,2,4246,
798,4455,2,4247,
799,4456,2,4248,
800,4457,2,4249,
801,4458,2,4250,
802,4459,2,4251,
803,4460,2,4252,
804,4461,2,4253,
805,4462,2,4254,
806,4463,8,4255,
807,4464,2,4256,
808,4468,2,4257,
809,4469,2,4258,
810,4470,2,4259,
811,4471,2,4260,
812,4472,2,4261,
813,4473,2,4262,
814,4474,2,4263,
815,4475,2,4264,
816,4476,2,4265,
817,4477,2,4266,
818,4478,2,4267,
819,4480,2,4268,
820,4481,2,4269,
821,4482,2,4270,
822,4483,2,4271,
823,4484,2,4272,
824,4501,2,4273,
825,4502,2,4274,
826,4503,2,4275,
827,4504,2,4276,
828,4505,2,4277,
829,4510,2,4278,
830,4511,8,4279,
831,4512,2,4280,
832,4514,2,4281,
833,4515,2,4282,
834,4516,2,4283,
835,4517,2,4284,
836,4518,2,4285,
837,4519,2,4286,
838,4520,2,4287,
839,4521,2,4288,
840,4522,2,4289,
