_id,ftype,fname,nid,metadata
1268,7,turning point,3489,
1269,7,turning point,3490,
1270,7,turning point,3491,
1271,7,turning point,3492,
1272,7,turning point,3493,
1273,7,turning point,3494,
1274,7,turning point,3495,
1275,7,turning point,3496,
1276,7,turning point,3497,
1277,7,turning point,3498,
1278,7,turning point,3499,
1279,7,turning point,3500,
1280,7,turning point,3501,
1281,7,turning point,3502,
1282,7,turning point,3503,
1283,7,turning point,3504,
1284,7,turning point,3505,
1285,7,turning point,3506,
1286,7,turning point,3507,
1287,7,turning point,3508,
1288,7,turning point,3509,
1289,7,turning point,3510,
1290,7,turning point,3511,
1291,7,turning point,3512,
1292,7,turning point,3513,
1293,2,3530,3514,
1294,7,turning point,3515,
1295,7,turning point,3516,
1296,7,turning point,3517,
1297,7,turning point,3518,
1298,7,turning point,3519,
1299,7,turning point,3520,
1300,7,turning point,3521,
1301,7,turning point,3522,
1302,7,turning point,3523,
1303,7,turning point,3524,
1304,7,turning point,3525,
1305,7,turning point,3526,
1306,7,turning point,3527,
1307,7,turning point,3528,
1308,7,turning point,3529,
1309,7,turning point,3530,
1310,7,turning point,3531,
1311,7,turning point,3532,
1312,7,turning point,3533,
1313,7,turning point,3534,
1314,7,turning point,3535,
1315,7,turning point,3536,
1316,7,turning point,3537,
1317,7,turning point,3538,
1318,7,turning point,3539,
1319,7,turning point,3540,
1320,7,turning point,3541,
1321,7,turning point,3542,
1322,7,turning point,3543,
1323,7,turning point,3544,
1324,7,turning point,3545,
1325,2,4001-4004,4452,
1326,8,4001,4000,
1327,8,4002,4001,
1328,8,4003,4002,
1329,8,4004,4003,
1330,2,4005,4004,
1331,8,4007,4005,
1332,8,4008,4006,
1333,8,4009,4007,
1334,8,4010,4008,
1335,8,4011,4009,
1336,8,4012,4010,
1337,2,4013,4011,
1338,2,4015,4012,
1339,2,4016,4013,
1340,2,4017,4014,
1341,2,4018,4015,
1342,2,4020,4016,
1343,2,4021,4017,
1344,2,4026,4018,
1345,2,4027,4019,
1346,2,4028,4020,
1347,2,4029,4021,
1348,2,4030,4022,
1349,8,4032,4023,
1350,2,4033,4024,
1351,2,4035,4025,
1352,8,4091,4026,
1353,2,4092,4027,
1354,2,4093,4028,
1355,2,4094,4029,
1356,2,4095,4030,
1357,2,4096,4031,
1358,2,4098,4032,
1359,2,4101,4033,
1360,2,4102,4034,
1361,2,4103,4035,
1362,2,4104,4036,
1363,8,4105,4037,
1364,2,4106,4038,
1365,2,4107,4039,
1366,8,4107A,4040,
1367,8,4108,4041,
1368,2,4109,4042,
1369,2,4110,4043,
